Pathway	BLCA	CESC	CHOL	COAD	DLBC	ESCA	KIRP	LIHC	READ	SKCM	THYM	UCEC	UCS	UVM
Cell cycle	-1	0	1	-1	-1	-1	0	0	0	0	0	-1	0	0
Mismatch repair	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0
DNA replication	0	0	1	-1	0	-1	0	0	0	0	0	-1	0	0
VEGF signaling pathway	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Apoptosis	0	0	0	0	1	0	0	1	0	0	0	0	0	0
FoxO signaling pathway	0	0	1	1	0	1	0	0	0	0	0	0	0	0
mTOR signaling pathway	0	0	0	0	1	1	0	1	0	0	0	-1	0	0
Autophagy	0	0	-1	1	0	1	0	1	0	1	0	-1	0	0
TNF signaling pathway	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Notch signaling pathway	0	0	1	0	1	0	0	0	0	0	0	0	0	0
p53 signaling pathway	0	0	1	0	1	0	0	0	0	0	0	-1	0	0
Rap1 signaling pathway	0	-1	0	0	0	1	0	0	0	0	0	0	-1	0
NF-kappa B signaling pathway	0	0	0	0	1	0	0	1	0	0	0	0	0	0
B cell receptor signaling pathway	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Th1 and Th2 cell differentiation	0	1	0	0	0	0	0	0	0	0	0	0	0	0
T cell receptor signaling pathway	0	1	0	0	0	1	0	1	0	0	0	0	0	0
Th17 cell differentiation	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IL-17 signaling pathway	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Inflammatory mediator regulation of TRP channels	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Leukocyte transendothelial migration	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Platelet activation	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Neutrophil extracellular trap formation	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JAK-STAT signaling pathway	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fc gamma R-mediated phagocytosis	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NOD-like receptor signaling pathway	0	1	0	1	0	0	0	1	0	0	0	0	0	0
"Growth hormone synthesis, secretion and action"	0	-1	0	0	0	1	0	0	0	0	0	0	0	0
Thyroid hormone signaling pathway	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Steroid hormone biosynthesis	0	0	0	0	1	0	0	0	0	-1	0	0	0	0
Insulin signaling pathway	0	-1	0	-1	0	1	0	0	0	0	0	0	0	0
Prolactin signaling pathway	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Chemokine signaling pathway	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Citrate cycle (TCA cycle)	-1	0	0	0	1	0	0	-1	-1	0	0	-1	0	0
Glycerolipid metabolism	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Glycolysis / Gluconeogenesis	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0
Lipid and atherosclerosis	0	0	0	1	0	1	0	1	0	1	0	0	0	0
N-Glycan biosynthesis	0	0	0	0	0	0	-1	1	0	0	0	0	1	-1
