result.feature	result.pvalue	result.fdr	result.coef	result.mean.0	result.mean.1	result.mean.0.w	result.mean.1.w
10p11.1	0.334466411494214	0.612310556475628	-0.116261703227217	0.310344827586207	0	0.28320551822311	0.166943814995892
10p11.21	0.837588261352074	0.960952414292398	-0.0235445153641291	0.379310344827586	0.0681818181818182	0.29208035906886	0.26853584370473
10p11.22	0.0875761230638329	0.332431814079039	-0.188376563322705	0.379310344827586	0.0113636363636364	0.315893930806441	0.127517367483735
10p11.23	0.591225393480299	0.811549435869111	-0.0566626445251482	0.310344827586207	0.0340909090909091	0.242147564112637	0.185484919587488
10p12.1	0.347124683567216	0.615788279140441	-0.106437496120191	0.310344827586207	-0.0340909090909091	0.251527304957646	0.145089808837454
10p12.2	0.197841302047181	0.475887368810777	-0.162018975541064	0.344827586206897	-0.0227272727272727	0.31755165654623	0.155532681005165
10p12.31	0.355966120064274	0.623444020523856	0.114279178076575	0.137931034482759	-0.0227272727272727	0.0445794093461451	0.158858587422719
10p12.31.1	0.786507313969017	0.937758720501521	-0.029970272363897	0.275862068965517	-0.0227272727272727	0.185502953369063	0.155532681005165
10p12.33	0.355966424621685	0.623444020523856	0.114279111174098	0.137931034482759	-0.0340909090909091	0.0445794093461451	0.158858520520242
10p12.33.1	0.35596615649785	0.623444020523856	0.114279178076575	0.137931034482759	-0.0227272727272727	0.0445794093461451	0.158858587422719
10p13	0.183650262380728	0.461608107726075	0.186982804494044	0.172413793103448	0.0681818181818182	0.110603760934729	0.297586565428772
10p14	0.20275832329905	0.477098237579726	0.183742106093813	0.206896551724138	0.0227272727272727	0.121997894336288	0.3057400004301
10p14.1	0.183650537482417	0.461608107726075	0.18698267068909	0.172413793103448	0.0454545454545455	0.110603760934729	0.297586431623819
10p15.1	0.423733473434125	0.681785692549717	0.117401458284316	0.241379310344828	0.0454545454545455	0.188338675950738	0.305740134235053
10p15.1.1	0.20369829263447	0.477177360579488	0.183425609165469	0.206896551724138	0.0113636363636364	0.122314324362154	0.305739933527623
10p15.2	0.708872386464987	0.891067560701177	0.0523281672221508	0.241379310344828	0	0.242968894137763	0.295297061359913
10p15.3	0.402233199859668	0.658586049066006	0.123896202533531	0.137931034482759	-0.0340909090909091	0.171400658118952	0.295296860652482
10q11.21	0.866218059166173	0.968214954376738	0.0186840950066832	0.172413793103448	0.0568181818181818	0.0267352460806278	0.0454193410873119
10q11.22	0.90550425538647	0.981325258418964	-0.0127632142803084	0.103448275862069	0.0909090909090909	0.0199939389315998	0.00723072465129226
10q11.23	0.905498819223645	0.981325258418964	-0.0127639502075525	0.103448275862069	-0.0340909090909091	0.0199939389315998	0.00722998872404812
10q11.23.1	0.690446979729531	0.878407238233193	0.0477671733411546	0.0344827586206897	-0.0227272727272727	-0.0414188292940119	0.00634834404714353
10q21.1	0.684880668733998	0.875820964159349	0.0486487511155824	0.0344827586206897	-0.0454545454545455	-0.0414188292940119	0.00722992182157139
