summary.feature.sig	summary.fdr.sig	summary.coef.sig	summary.mean0.sig	summary.mean1.sig	summary.mean0.sig.w	summary.mean1.sig.w
PIK3CA	0.104760865365494	-0.191475896175971	0.616	0.385964912280702	0.544914345205694	0.353438449029723
PPP2R1A	0.129740563724935	-0.12088419990261	0.148	0.140350877192982	0.247417526436781	0.126533326534171
SETD1B	0.302701321423704	-0.0464336429096866	0.06	0.0175438596491228	0.0548025258954712	0.00836888298578456
USH2A	0.302701321423704	0.0741965516100777	0.08	0.105263157894737	0.0433745412461913	0.117571092856269
AFF2	0.298439550585429	-0.0521069991657246	0.08	0.0175438596491228	0.0717021813084361	0.0195951821427115
LRP1B	0.308743269561917	-0.0476009254766118	0.096	0.0175438596491228	0.0671961076193233	0.0195951821427115
BCOR	0.0123336520485495	-0.0873846133544377	0.088	0	0.0873846133544378	0
RNF43	0.20982625640121	-0.0608863486959735	0.108	0.0175438596491228	0.080481530838685	0.0195951821427115
DNAH7	0.196964666117815	0.0846369114673494	0.076	0.12280701754386	0.0525293635316311	0.137166274998981
STAB2	0.20982625640121	0.0627874126085411	0.048	0.087719298245614	0.0304554092605123	0.0932428218690532
PCLO	0.087954849110437	0.157518996603504	0.044	0.175438596491228	0.0272065256666847	0.184725522270188
NFE2L2	0.087954849110437	0.0807373121098297	0.064	0.087719298245614	0.0172385986037279	0.0979759107135576
CSMD1	0.109768642443441	-0.0610370296227953	0.072	0.0175438596491228	0.0711425422673474	0.010105512644552
HSPG2	0.087954849110437	0.110432546788588	0.04	0.12280701754386	0.026733728210393	0.137166274998981
MED12	0.259476283326668	-0.0522418827910724	0.084	0.0175438596491228	0.0718370649337839	0.0195951821427115
AHNAK	0.087954849110437	0.102848171884071	0.06	0.140350877192982	0.0284647320419806	0.131312903926051
DNAH5	0.196964666117815	-0.0585610591589445	0.06	0.0175438596491228	0.0781562413016561	0.0195951821427115
NEB	0.308743269561917	-0.0505572890382701	0.1	0.0175438596491228	0.0701524711809817	0.0195951821427115
FLNC	0.196964666117815	0.0629130981793458	0.044	0.087719298245614	0.0255731430360524	0.0884862412153981
KIAA2022	0.109768642443441	-0.0465605512151912	0.056	0	0.0465605512151912	0
TAF1	0.087954849110437	0.121201907380978	0.08	0.175438596491228	0.0747499140461374	0.195951821427115
DNAH14	0.247518215583156	0.0546874653655796	0.048	0.0701754385964912	0.0236932632052665	0.0783807285708461
REV3L	0.104760865365494	0.0803459608080651	0.052	0.105263157894737	0.0277354625500445	0.10808142335811
HRNR	0.308743269561917	-0.0684865679090065	0.056	0.0175438596491228	0.0724529579692797	0.00396639006027318
NSD1	0.104760865365494	-0.0748642670359056	0.116	0.0175438596491228	0.0863670170722105	0.0115027500363048
MTOR	0.0123336520485495	-0.0899379526486046	0.064	0	0.0899379526486046	0
KANSL1	0.20982625640121	-0.0441343044986083	0.06	0	0.0441343044986083	0
WDFY3	0.189419299822252	-0.0610664613893847	0.072	0.0175438596491228	0.0806616435320962	0.0195951821427115
MAB21L1	0.20982625640121	-0.0326826508890941	0.016	0	0.0326826508890941	0
ATM	0.104760865365494	-0.0537227441816615	0.092	0	0.0537227441816615	0
CEP290	0.134350983835319	0.0941969381214249	0.048	0.12280701754386	0.0429693368775557	0.137166274998981
MUC5B	0.20982625640121	0.105905021126333	0.108	0.175438596491228	0.0853137114562778	0.191218732582611
DYRK1A	0.0123336520485495	0.140031789246059	0.048	0.157894736842105	0.0221020916956807	0.16213388094174
APOB	0.20982625640121	0.0777671911136375	0.06	0.105263157894737	0.0322649988312279	0.110032189944865
