Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human T-cell leukemia virus 1 infection	11/219	3.3419755209743735E-7	6.851049817997466E-5	0	0	8.249580280830282	123.01389309369398	RB1;NRAS;CCND1;CREB3L4;CANX;AKT1;EP300;ATM;LTBR;PRKACA;JAK1
Human papillomavirus infection	12/331	3.028182017545317E-6	3.1038865679839495E-4	0	0	5.881579937304076	74.74046003210621	RB1;NRAS;CCND1;CREB3L4;AKT1;EP300;TSC1;ATM;PRKACA;SOS1;IRF9;JAK1
Prostate cancer	7/97	4.665098562897551E-6	3.187817351313326E-4	0	0	11.83	145.21800087738518	RB1;NRAS;CCND1;CREB3L4;AKT1;EP300;SOS1
Viral carcinogenesis	9/203	1.1191479900192385E-5	5.009976522505522E-4	0	0	7.128745167525773	81.27024552033014	RB1;NRAS;CCND1;CREB3L4;EP300;LTBR;PRKACA;IRF9;JAK1
Cellular senescence	8/156	1.2219454932940296E-5	5.009976522505522E-4	0	0	8.261051749423842	93.45299268789282	RB1;NRAS;CCND1;AKT1;RRAS2;TSC1;ATM;ZFP36L1
Human cytomegalovirus infection	9/225	2.534038229037789E-5	8.657963949212445E-4	0	0	6.3955078125	67.68437097889313	RB1;NRAS;CCND1;CREB3L4;AKT1;TSC1;PRKACA;SOS1;JAK1
Chemical carcinogenesis	9/239	4.063950336333895E-5	0.0011901568842120692	0	0	6.0019361413043475	60.684195730321655	RB1;NRAS;CCND1;CREB3L4;EPHX4;AKT1;PRKACA;SOS1;KPNB1
Proteoglycans in cancer	8/205	8.582032235000152E-5	0.0021581431936652283	0	0	6.190847204186833	57.96647931958117	NRAS;CCND1;PTCH1;AKT1;RRAS2;ANK3;PRKACA;SOS1
Acute myeloid leukemia	5/67	9.626569204255968E-5	0.0021581431936652283	0	0	12.09738514173998	111.88143937153016	NRAS;ITGAM;CCND1;AKT1;SOS1
Hepatitis C	7/157	1.0527527773976723E-4	0.0021581431936652283	0	0	7.076461538461539	64.81282964705332	RB1;NRAS;CCND1;AKT1;SOS1;IRF9;JAK1
Hepatitis B	7/162	1.2799465803182134E-4	0.002318218287321481	0	0	6.846451612903226	61.36831985302782	RB1;NRAS;CREB3L4;AKT1;EP300;SOS1;JAK1
Non-small cell lung cancer	5/72	1.3570058267247696E-4	0.002318218287321481	0	0	11.1917684305744	99.66336599267339	RB1;NRAS;CCND1;AKT1;SOS1
Glioma	5/75	1.6467008638808636E-4	0.0023911136822845737	0	0	10.710497835497835	93.30521480739354	RB1;NRAS;CCND1;AKT1;SOS1
