Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-2F-A9KO-01A-11D-A38G-08	33.0810093918796	72.540515910746	0	0	0	0	43.9064065345573	0	0	41.2186586521184	0	0	310.750212863148	0	0	0	0	0	0	3.93026928792835	0	0	0	19.102291304317	0	0	0	0	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	25.7638929978476	23.8009866496806	0	0	0	12.9169779339727	1.00868496138549	0	0	14.2003868425385	0	0	29.2624238840869	0	8.85659693351576	3.97229410049538	1.29125683514373	0	0	0	0	1.47589890043877	0	0	0	2.86038475579837	0	0	0	0
TCGA-2F-A9KQ-01A-11D-A38G-08	18.7446806169584	0	3.04377872106741	0	0	10.4124829403036	2.66238674393911	0	0	6.15295554215837	0	0	12.034471335069	0	0	6.20929246642052	3.46244563690717	0	0	0	2.29984918151155	0	0	0.936798596877206	0	0	0.201286883061913	0	0	0
TCGA-2F-A9KR-01A-11D-A38G-08	43.6920209000391	53.4397182341782	0	0	0	0	26.3882104079811	0	0	16.6961342174997	0	0	68.9328297281227	0	2.6287804294901	0	0.881978534433614	0	0	0	0	1.16285508089439	0	11.1425225488631	0	0	0	0	0	0
TCGA-2F-A9KT-01A-11D-A38G-08	35.5915407089334	66.5854096389048	0	0	0	0	40.4730199252937	0	0	29.1637814784909	0	0	168.122092393597	0	0	0	1.6931573399013	0	0	0	0	0	0	9.19378525478436	0	0	0	0	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	13.8421042840234	4.10445281825857	10.0234832844246	1.1908200618866	0	9.34996253809709	18.5185870002022	9.59608487563375	0	0	0.288027171969567	0	13.5370340041459	3.50975839059143	0	0	9.75105325232204	1.71261612344751	0	0	0	0	0	0	0	0	0	0	6.66778812437476	0
TCGA-4Z-AA7M-01A-11D-A391-08	57.652868912197	100.232661295687	0	0	0	0	67.4790623846792	0	0	19.6345629861988	0	0	222.604771198213	0	0	0	3.14974538368929	0	0	0	0	0	0	16.1042975367302	0	0	0	0	0	0
TCGA-4Z-AA7N-01A-11D-A391-08	1.21181682255015	4.76604560510436	0	0	0	1.27919796843699	0.323291688113279	0	0	0	0	0	5.68587702888095	0	3.64956692210235	0	0	0.715247343201401	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	28.6201108307012	10.2667696505647	3.23000994760384	0	0	9.18526164138647	28.3697228315087	0	0	9.97417254620801	0	0	49.1317141048769	0	0	0	0	2.94336450890317	0	0	10.3412144252729	1.05453338220923	0	3.59637235848533	0	0	0	0	2.00887492048589	0
TCGA-4Z-AA7Q-01A-11D-A391-08	37.3465259946011	10.256052010462	0	24.7483263383213	0	1.05064670623261	22.3208678735424	0	0	11.9441140462796	0	2.57686749656175	124.40616971644	0	0	0	0.26432162800589	0	0	0	0.146819507944028	0	0	0	0	0	0	0	0	0
TCGA-4Z-AA7R-01A-11D-A391-08	27.6828453370301	81.3966471629288	0	0	0	14.4423277140118	30.3975005041466	0	0	24.7827051088852	0	0	136.245223433658	0	0	0	0	0	0	0	0	1.24925810496831	0	6.80179154053038	0	0.130778193380875	0	0	0	0
TCGA-4Z-AA7W-01A-11D-A391-08	6.78588081362265	75.9046231158646	0	0	0	20.8704430619653	32.152878110144	0	0	20.6991164815276	0	0	320.768719879727	0	0	0	8.16750418735179	0	0	2.33792753966429	0	0	0	14.733404915319	0	0	0	1.28589083624078	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	14.8095899210192	77.9485177892872	2.51279986203038	0	0	1.74948683406714	31.1037485767892	0	0	24.7972199769423	0	0	107.942854261568	0	0	0	0	3.00706775091965	0	0	0	0	0	0	0	0	0.384692230079547	0	0	2.83194813175726
TCGA-4Z-AA80-01A-11D-A391-08	69.7689523591738	75.7889984541878	0	9.31640922515437	0	0	19.8089798440007	0	0	41.3132141415043	0	0	143.443694325671	0	0	0	0	0	0	17.6469404943561	0	0	0	3.47309112907108	0	0	0	0	0.996051765088939	0
TCGA-4Z-AA81-01A-11D-A391-08	29.5254223274264	65.2771084813559	0	0	0	0	2.9584734310742	0	0	29.0069798990188	0	0	73.3740446605855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-4Z-AA82-01A-11D-A391-08	39.3687458700335	17.2870336950877	12.8031519320176	0	0	0	0	0	0	0	0	0	14.3503641577901	2.52652900957934	0	0	0	6.71435242418784	0	0	0	0	1.18314828161713	0	0	0	0.45123356025573	0	7.6112486927191	1.14982568548431
TCGA-4Z-AA83-01A-11D-A391-08	31.8649580792296	10.085099520448	0	0	0	0	5.415531745651	0	0	5.56601140311841	0	0	17.1899764703089	0	0	0	0.625402367270997	0	0.287904447043788	0	0.725227001021519	0	0	0	0	0	0	0	7.39568053363757	0
