Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-3X-AAVB-01A-31D-A417-09	1.09551975029213	1.99634627476672	0	3.05762977658269	14.5592418580556	0	10.5252992075787	0	0	0	0	1.43785877238896	0	0.34039746841152	0	0.768298865720983	0	0	0	0	0	0	0	0	0	0	0	10.4579964189457	0
TCGA-3X-AAVC-01A-21D-A417-09	24.5046450718523	0	6.89248100238617	0	0.226626949313363	1.48592482505188	0	0	0.0316138360372886	0	0	0.360930333113333	0	0	4.78537548271336	0.543823602913646	0	0	10.6800582713145	4.63685433777427	0	0	1.73489489044623	0	0	0.323194923111863	0	0	0
TCGA-3X-AAVE-01A-11D-A417-09	7.46786216048178	2.3211578484803	0	0	23.2051686655213	0	0	0	0	0	0	0.364842913028908	0	0	19.2414875769045	0	0	0	0	0	0	0	0	0	0	1.14728372564876	0	0	0
TCGA-4G-AAZO-01A-12D-A417-09	0	1.88825111478701	3.56887580701114	0.668477608538791	0	0	0.760592569683636	0	0	0	8.13671796320966	0	0	0	1.80444972772433	0	0	0	5.78285981396425	0	2.83661088942666	0	0	0	0	0	0	10.3877885139479	8.40551095125389
TCGA-4G-AAZT-01A-11D-A417-09	13.366355385416	1.04571962601969	4.86780782485361	0	0	0	2.42109208400549	4.99395324975504	2.4641464103233	0	0	0.192865573132719	0	10.6927225721599	16.1067215413208	0	0	0	0	0	2.8967849073016	1.07661286628596	1.37397949782989	0	0	0	0	0	0
TCGA-W5-AA2G-01A-11D-A417-09	9.20453554345774	0	0	0	6.47870711219937	2.31455348593365	1.23175657602863	8.32087318197821	8.17425939002039	0	0	0	0	0	0	0.491571725470609	0	0	0	0	3.24844884126537	0	0	0	0	1.61613808928146	0	14.5975034229667	0
TCGA-W5-AA2H-01A-31D-A417-09	0	0	0	0	0	0	0	0	0.587385545980296	0	0	0	0	4.04850520133625	2.36692727643336	0	2.25865230769937	0	2.68214986626285	0	0	2.13138930635742	0	0	0	0.257302086116908	0	0	0
TCGA-W5-AA2I-01A-32D-A417-09	16.2844319832459	0.749046745127334	0	0	1.43891503387773	7.65704045622793	0	4.35507025188112	0.923321756132091	0	0	1.20163463862193	0	11.2878035645077	0.573325650131031	0	0	0	0	0	0	0	0	4.92294128904999	0.0525358551605708	0	2.33245366092248	0	0
TCGA-W5-AA2O-01A-11D-A417-09	0.789979492995735	2.71740205628497	0	0	5.24836712121342	0	1.38999647261491	0	3.45970846117847	0	0	0	0	0	0	3.21256426449754	3.01279980742777	0	0	0	0	0	0	8.64596530931819	0	0	0	0.487198079414908	4.00332218282133
TCGA-W5-AA2Q-01A-11D-A417-09	4.92601650253694	2.13657074562284	0	0	0	0	1.36114150453609	0	0	4.14558277805881	0	0	11.7515151745575	2.07680321471047	0	0.742066789569286	1.34276363658362	0	0	0	0	0	0	10.8465222217775	0	0	4.80586090105325	8.84706327547638	0
TCGA-W5-AA2R-01A-11D-A417-09	0	0	14.1074767016294	0	3.93380574441018	0	0	0	0	0	0	0	0	6.69415197643877	0	0	2.46374096536287	0	0	1.52051660585926	0	4.38333249018621	0.914621591732979	0	0	0	0	0	0
TCGA-W5-AA2T-01A-12D-A417-09	17.0332659729418	7.99741613064542	6.50255579374948	0	1.11757881351497	0	0	0	0	0	0	1.9771335034637	0.154582874943585	2.20851152820768	0	0	0	0	0	4.0545241830773	0	2.33943608371722	0	0	0	2.56485811128237	2.27855790028108	0	0
TCGA-W5-AA2U-01A-11D-A417-09	18.1802658017935	0	7.70050864591566	0	15.3853661273733	14.2748906355912	4.73710139596722	0	1.4113739127389	0	0	0	0	0	0	0.941204526614818	8.12664655702145	0	0	3.15689924273454	5.21233777539629	0	16.7231887742804	0	0	0	0	0	0
TCGA-W5-AA2W-01A-11D-A417-09	8.66212218754681	0	0	0	0	0	5.9714478425618	0	0	7.6888224804619	0	2.11024460317324	0	0	6.94635385853055	1.65871635719994	0	0	0	0	0	0	0	0	0	0	0	1.51510659693195	0
TCGA-W5-AA2X-01A-11D-A417-09	6.29246041257742	1.65211889053393	0	24.2969140249782	1.01540222474208	0	0	0	0	0	0	0	0	20.3519645973488	0	0	0.671621486932885	0	8.29043446018759	0	0.180477473023774	0.0891934434372494	0	0	0	0	0	0	1.35405039926689
TCGA-W5-AA2Z-01A-11D-A417-09	2.40532092582446	0	5.03123548663264	3.32419429491741	10.9554506504235	0	0	0	0	1.88261720974365	0	2.95465343151901	0	0	0	0	2.63983470715171	0	0	0.109254368054797	0	0	1.66580932938658	0	0	0	0	0	0
