Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-2H-A9GF-01A-11D-A37C-09	79.085156995728	19.9777644532693	0	0	0	86.5639520380574	0.222250972576386	0	0	0	0	0	12.2235866835856	0	0	0	75.3690321398132	25.7855625204416	8.58984059221254	0	0	3.31924108884331	0	0	0	0	0	0	0	0
TCGA-2H-A9GH-01A-11D-A37C-09	38.1769717417306	0	3.98438991072411	26.6895348256388	0	0	8.37412908005919	0	6.9355836808078	2.6732822747878	0	8.7717565451322	6.43287301898254	0	0	0	24.7700436312154	0	0	0	0	0	0	0	0	0	0	5.37604982143592	0	0
TCGA-2H-A9GI-01A-11D-A37C-09	67.9789037237325	0	0	0.935657316322104	0	3.91332277696707	4.01864735123942	0	0	4.10637018408705	0	0	4.79596773567091	0	0	0	89.9876775101381	0	0.433342088909198	4.14515437204978	1.62316135260792	0	10.221332133993	0	0	0	0	8.01173241512689	18.5942457675667	0
TCGA-2H-A9GJ-01A-11D-A37C-09	53.202841901381	0	3.77878501373835	9.50258337378356	0	0	8.49576476779021	0	0	0.575913018868289	7.13535627442716	0	8.0810898975651	0	8.08580584697404	4.0683153082881	5.82132934908864	0	0	0	0	0	0	0	11.4518752310414	0	0	4.0037925595004	0	0
TCGA-2H-A9GK-01A-11D-A37C-09	46.044203728478	3.30676642040536	26.3054369996126	0	0	9.76337348040662	0.816554408367531	0	14.3409925336387	0	0	0	19.2986988032676	0	0	0	94.2233076069767	0	0	0	1.48848403688287	0	0	0	0	0	0	0	0.345644627818405	0
TCGA-2H-A9GL-01A-12D-A37C-09	40.0054223966897	0	37.6430677750265	0	0	0	0	0	11.6436830673411	0	0	0	0	0	12.4096148379746	14.6501360168732	96.7105887053176	0	0	0	5.11630871545274	0	0	18.4562515278358	0	0	0.527638810335527	0	0	0
TCGA-2H-A9GM-01A-11D-A37C-09	18.4534965329064	1.47127531729022	0	0	0	14.3261035205554	1.97746297645245	2.09868173783536	0	5.14804093905141	0	0	4.35263041318889	0	16.8070264755817	0	32.1870618259209	10.2896685163402	0	0	0.517851525343478	0	0	0	0	0	0	9.80642107956225	14.5792063523672	0
TCGA-2H-A9GN-01A-11D-A37C-09	40.2517057558447	0	18.8997468743128	0	0	20.516129437343	6.51803754580072	0	0	4.8801378859772	0	0	17.0598578790978	0	0	6.65290102036865	19.1380968265578	0	0	0	0	1.28688819128788	0	0	0	0	1.63463952690908	0	0	0
TCGA-2H-A9GO-01A-11D-A37C-09	34.4366024574119	0	21.0370656527665	0	0	0	9.64712079518159	0	0	3.61951648398824	1.71161084196386	0	2.30626082352447	0	8.76286125729467	0	63.2638855439003	7.5585623011963	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2H-A9GQ-01A-11D-A37C-09	17.0057116038984	9.94575240326685	23.6788336092823	0	0	25.7451148873604	1.64810447093174	2.18530633780853	0	0	0	0	10.6371878276623	0	19.1737123742369	0	21.6525557723598	0.494342990663236	0	0	0	2.23293085047446	0	0	0	0	0	0	12.7020906244085	0
