Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-2V-A95S-01A-11D-A36X-10	5.05697314881277	0	0	0	0	19.7135069303398	3.79463570378596	0	0	0	0.897643576548005	0	4.76351277505218	3.36358578997401	0	39.4312557775583	0	14.1156831154763	0	0	0	2.06398307288224	2.58718131983718	0	0	2.20982099063833	0	0	0	1.76652872435579
TCGA-2Y-A9GS-01A-12D-A382-10	11.6868976281067	0	0	8.63670468746194	0	0	0	0	0	0.965140648946075	0	0	2.01813035677016	0	20.0882358995631	0	0.749654329834098	2.06637450455635	0	0	0	0	0	14.4192993071559	0	7.30423769492328	0	0	1.35269278905546	0
TCGA-2Y-A9GT-01A-11D-A382-10	3.37856854249055	0	0	0	0	14.0940966654858	0	0	0	0	0	22.7065407804139	0.656877252535114	0	3.99240357438529	0	0	0	0	0	0	5.33394555445001	0	27.3595424669049	0	0	0	7.36448034259899	0	0
TCGA-2Y-A9GU-01A-11D-A382-10	36.7231612219517	0	30.1443164714176	6.12862471570593	0	0	17.6549320765382	0	0	0	0	0.786176236331623	2.75973176173408	0	21.6878923631432	0	6.40158811866594	3.15663135950258	0	0	3.95600586146176	6.26794877440056	0	2.19793254714243	0	21.1022685723512	0	0	0	0
TCGA-2Y-A9GV-01A-11D-A382-10	7.01530416975181	0	1.2039280370198	18.1647939985384	0	0	0	0	0	0	0	0	2.50030835141093	0	0	15.5861370198947	1.46479252009878	0	0	4.40401228725919	0	3.47614648372804	0	0	0	12.4879989994228	0	0.873691548409918	0	0
TCGA-2Y-A9GW-01A-11D-A382-10	17.8238144241808	0	6.00470480969163	10.8630632670193	0	0	0	0	0	0	0	2.51721072567721	0	0	0	0	3.88492003594121	0	0	0	13.3548372643321	2.21526854293961	7.47731631922094	5.0930396491391	0	0	0.498892206229734	2.55090920333146	0	0
TCGA-2Y-A9GX-01A-11D-A382-10	0	0	5.7568225677294	3.5736102632941	2.22637745107135	0	7.16399491377851	0	0	0.326836480009967	0	0	0	3.37229747821186	0	3.11538917191943	0	7.67746743655996	1.98371427240428	6.33742025333378	0	8.7242713414717	0.192442851545697	2.38647439633007	0	2.72816721109207	0	0	0	0
TCGA-2Y-A9GY-01A-11D-A382-10	18.7790931330845	0	0	9.63282405689154	0	0	0	0	0	0	0	0	8.22510442960415	0	0	25.1155019955805	9.01585468774189	0	0	0	0	0	0	3.5429502807219	0	0	0	0	0.0441822227783183	0
TCGA-2Y-A9GZ-01A-11D-A38X-10	5.05185007382759	0	18.4255898829008	3.26463248178769	0	0	0	5.83208654644359	0	0	0	10.4133215839339	0	9.44541202876183	0	0	0.659010997686776	0	4.07127499433607	0	0	3.21629712178839	0	21.1503201146195	0	0	0	0	0	11.4669076508591
TCGA-2Y-A9H0-01A-11D-A382-10	0	3.04403574950784	15.0138640162001	1.31854787030913	14.4759330521611	8.02910869728092	0	0	0	0.231110446438983	0.653565254700638	0	1.50666755031672	0	0	0	0	0.938479647111179	0	1.3936281979118	6.20385679756695	7.70435107896739	5.61326655528958	10.0916059969331	0	0	0	0	0	3.41700629688742
