Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29
TCGA-AF-2687-01A-02D-1733-10	77.2604071577811	0.437187673556502	0	0	11.4409969850644	0	0	0	0.0840110197494208	0	0	2.24432154936827	0	0	0	0.800311957128101	6.99642938106139	0	0	2.88108577173534	1.64917120760492	0	1.73701827127313	0	0	0	0	0.91421257172656
TCGA-AF-2689-01A-01D-1989-10	11.8723412791639	0	0.490752188903368	0	0	0.569559349341053	0	0	0	0	0	0	0	12.2199310335473	0	0	0	0	0	0	0	0	0	0	0	0	2.38565954028192	0
TCGA-AF-2690-01A-02D-1733-10	62.518292372305	0	0	0	3.5651375101775	2.7916657620119	0	0	6.93010240522869	0	0	3.651821553063	0	0	0	0	0.359814344337773	0	0	0	0	0	0	0	0	0	0	0
TCGA-AF-2691-01A-01D-1989-10	0	0.238993686106133	0	3.0600565811056	1.78934361383967	0.773455247801297	0	0	1.47802171789528	0	0	0	0	0	0	0	0	0	20.3545748000514	2.31284330549709	1.12090874227648	0.131074422325143	9.3701906706769	0	0	0	0.118785206932063	0
TCGA-AF-2692-01A-01D-1989-10	10.3264056266294	0	0	0	2.01023601457638	0	0	0	0.840786046471477	0	0	0	0	5.04834445812853	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AF-2693-01A-02D-1733-10	65.4482434524796	0.882453535048989	0	0	0	0	0	0	2.78155356071969	3.51953502060868	0	4.04886125821887	0	0	0	0	0	0	0	0	6.31809128615925	0	0	0	0	0	5.65553144382929	3.34614649533814
TCGA-AF-3400-01A-01D-1989-10	4.8262507063102	0	0	0	11.3280459040495	0	0	0	0	0	0	0	0	7.11510202677453	0	0	0	0	0	0	2.97262573286355	0	0	0	0	0	0	0
TCGA-AF-3911-01A-01D-1733-10	64.6766911884517	0	0	7.30150080683574	0	0	0	0	0	0	0	4.68331739224956	0	0	0	0	5.66655842166519	0	0	2.58389447417421	0	0.817487793768944	0.561187391807057	0	0	0	2.63947123436058	0
TCGA-AF-3913-01A-02W-1073-09	35.058289437077	0.749185101380816	0	31.1967563258553	0	3.22628020417462	0	0	0	0	0	13.1028913373045	0	14.1340945095481	0	0.37026340101256	0	0	0	0	0	0	0.186770745763079	0	0	0	4.67991752345665	5.82402549722199
TCGA-AF-4110-01A-02D-1733-10	52.4376166289128	0.601107488447121	0	0	0	3.4476167938316	0	0	2.50707797842253	0	0.833032932491625	0.877003056871613	0	15.8833632709365	0	0	0	0	0	5.06013916028597	0	0	3.02924078520427	0	0	0	7.54626765481796	0
TCGA-AF-5654-01A-01D-1657-10	97.8692202430257	0	0	0	10.0652076000615	0	0	0	0	2.11613523044761	0	4.56608872043349	0	0	0	0	11.7870334042818	0	0	14.3853474458248	0	0	0	0	0	0.239120432887851	0	0
TCGA-AF-6136-01A-11D-1826-10	117.979618980178	0	0	0	13.6226916378625	0	0	0	0	0	0	3.33592675718747	0	0	0	0	2.10794197740186	0	0	0	0	0	0	0	0	0	0	0
TCGA-AF-6672-01A-11D-1826-10	33.7491196075546	0	0	0	0	0	0	0	5.16448903141912	0	0	7.0860367515239	0	22.0906516235475	0	1.57674760044381	0	0	0	0	4.7616747263879	0	0	0	0.674710294401752	0	0.838444504063454	2.29485896311308
TCGA-AF-A56K-01A-32D-A38X-10	46.9653795788045	0	0	0	40.4227218607126	0	0	0	0	0	0	0	0	2.33828715557049	0	0	22.7216271089027	0	0	0	0	0	0	0	0	0	0	0
TCGA-AF-A56L-01A-31D-A38X-10	106.496838553915	0	0	0	3.96870220429298	0	0	0	4.06741731941597	0	0	0	0	0	0	0	19.9834704692518	0	0	0	0	0	2.96993303972439	0	0	0	2.65495565997571	0
TCGA-AF-A56N-01A-12D-A38X-10	32.9534053443158	0	16.5673921832537	0	47.6791724393356	15.5539023379692	0.346981893414567	0	0	0	0	3.09116562727657	0	0	0	2.4561738851296	0	0	0	0	2.99118547094414	0	1.51808524374789	0	0	0	0	28.9530453066129
TCGA-AH-6544-01A-11D-1826-10	77.5993597181419	0	0	0	0	3.31090460860229	4.9420886376941	0	0	0	0	9.86566213340662	0	0	0	0.022096641221142	1.64455933533791	0	0	4.55205203073167	3.58707980885121	0	0	5.83634314300787	0	0	11.9758092669271	20.6251425626485
