Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-3G-AB0O-01A-22D-A423-09	0	0	0	0.119705312061689	0	0	0	0	0	0	0	0	0	0	2.5237710219319	0	0.45863225657563	1.4981985664241	0	0	0	0.0436636589303818	1.66288540395476	0.89334469865047	0	0	0.154949199394314	0	6.82134585275952	0
TCGA-3G-AB0Q-01A-11D-A423-09	6.4267497582544	0	4.94593324241999	0	0	0	0.964659223312554	0	0	0	0	0.39891013105232	0.827625415856041	0	0	0.36885853774011	0	4.58501775607135	0	0	0	0	0	0	0	0.812778793220343	0	0	7.49816385001424	0
TCGA-3G-AB0T-01A-11D-A423-09	0	3.82084327914195	0	0	0	9.2956601872842	0	0	0	0	0	0	0	0	0	0	0	0	3.33715971183379	0	1.92261340920526	0.315699446036053	0.138804997982243	0	0	0	0	0	0	0
TCGA-3G-AB19-01A-21D-A423-09	9.47441605315066	2.52717619304492	0	8.12815901472748	0	0	0.812051237846619	0	2.24041910649968	0	0	0	0	0	8.59493351860374	0	0.127083210851712	0	0	0	0	0.0699791920701062	0	0.759617853620468	0	0	0.116170669285398	0	0	0
TCGA-3S-A8YW-01A-11D-A423-09	9.17969351860044	0	0	0	0	3.83945477826265	0	6.79439435677143	0	0	0	0	7.08038512052306	0	12.9427895910722	0	0	0	0	0	0	0	0	0.0107988406630198	0	0	0	1.6557778082474	0	0
TCGA-3S-AAYX-01A-11D-A423-09	0	0	0	17.7468524128184	0	3.46111658065931	0	0	0	0	0	0	0	0	2.64425650397818	0	0	0	0	2.48081180501905	0	0	0	0	0	0	0	0	0	0
TCGA-3T-AA9L-01A-11D-A423-09	0.279119592806929	0	0	0	1.13858779561955	0.479881978365901	4.46784652502625	0	0	0	0	0.749861880027255	0	0	0	0	1.83590647330409	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-4V-A9QI-01A-11D-A423-09	0	0	0	0	0	0	0	0	0	0	0	1.25165165297731	0	0	1.97460316454621	5.21817275875824	1.2102649272892	0	0	0.28732032004017	0	0	0.323158370090706	0	0	0	0	0	0	0
TCGA-4V-A9QJ-01A-11D-A423-09	0	0	0	3.27246379260057	0	4.22180240214498	4.13237955823034	0	0	0	0	0	4.27150786695593	0	0	0	3.53247992831709	0	0	6.80262670731181	4.65874389675346	2.12842588981735	0	0	0	0	0	0	0	0
TCGA-4V-A9QL-01A-11D-A423-09	3.56317008599218	0	0	0.109004707707643	0	0	2.28679782388969	0	0	1.22936916696987	0	0	0	0	4.04720226948776	6.20943696011981	0	0	0	0	0	4.49561721846001	0	0	0	0	0	0	2.22416555640735	0
TCGA-4V-A9QM-01A-11D-A423-09	7.25526226935624	0	0	0	0	0	0	2.23453936011402	0	0	0	0	0	0	2.45025409230632	0	2.10790307234038	0	0	0	0	1.22018185128325	0.747369656376974	0	0	0	0	0	3.09772141061645	0
TCGA-4V-A9QR-01A-11D-A423-09	8.02875248081064	0	0	15.3847576670492	0	0	2.89294928688904	0	0	1.16877511816536	0	7.1546562047944	0.620203372310245	0	0	0	0.892934809543944	0	0	0	0	0	0	0.888673132225675	0	0	0	0	0	0
TCGA-4V-A9QS-01A-11D-A423-09	0	1.23153910108218	0	0	0	0	0	0	0	0	0	0	0	0	6.11927410182264	0	1.13460078775428	2.66393406008424	0	0	1.7613713245144	0	0	0.452274050068836	0	1.36353689313016	0	0	0	0
TCGA-4V-A9QT-01A-11D-A423-09	2.1942232197478	0	0	0	0	1.67424563830089	2.66564621036187	0	0	0.336822675369446	0	0	0	0	0	0	0.770190155185533	0	0	0	0	0	0	0	0	0	2.09269153457998	0	0.484309297460226	0
TCGA-4V-A9QU-01A-11D-A423-09	0	0	0.729461957309457	0	0	0.267705583204348	1.71645177049798	6.63477435163797	0	0	0	0	0	0	0	0	0	0	0	0	2.78066905892871	0	0	0	0	0	0	0	0	0
TCGA-4V-A9QW-01A-11D-A423-09	7.04896954216415	0	0	0	0	0.449528163403298	0	0	0	0	0	0	0	0	1.45624983781132	0	0.896483103400054	0	0	4.60188067683913	0	0.348928254543429	0	1.83745203663464	0	0	0	0	0	0
TCGA-4V-A9QX-01A-11D-A423-09	0	0	0	0	1.53210277646626	4.09043618285439	0	1.78158524205251	1.48757032494068	0.118773702238753	0	0	1.408724170658	0	4.11911422932645	0.171772842591417	0	4.17057073474412	0	0	0	0	0.487787650757517	0	0	0	0	0	0	0
TCGA-4X-A9F9-01A-11D-A423-09	0	0	0	3.70204537510372	0	0	0	5.95568888293984	0	0	0	0	0	0.843317679182409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49600223134475	0
TCGA-4X-A9FA-01A-11D-A423-09	0	0.161442792868702	5.27549208784242	0	0	0	0	0	0	0	0	0	1.31019829381328	0	0	0	2.92407795992666	0	1.54050308529839	0	2.35888942909935	0.76827647491593	0	0	0	0	0	0	0	0
TCGA-4X-A9FB-01A-11D-A423-09	0	0	0	3.31336750957705	0	0	0.0174260040431872	3.92439715414882	0	0	0	0	0	1.54403622303934	4.03842303289889	0	0.613760913206405	0	0.0736484222911585	0	0	0	0	0	0	0	0	0	0	0
