Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-2E-A9G8-01A-11D-A403-09	22.5424479875532	0.379925841061775	12.7405631295544	0	0	0	0	0	0	0	0	0	3.71722563730315	0	4.49705188685594	0	0	0	0	0	0	0.0336033006830731	0	7.16275357345464	0	0	0.168649415346722	12.12804618858	0	7.02961921194361
TCGA-4E-A92E-01A-11D-A37N-09	33.5486909945506	94.6243284420937	0	0	0	0	14.0998154549381	0	0	18.0729658435688	0	0	39.0920279437438	0	0	0	0	0	0	0	0	0	0	0	0	1.10673585716122	0	0	0	0
TCGA-5B-A90C-01A-11D-A37N-09	0.331734394703304	0	0	4.45714685962144	0	21.7362953853294	0	1.74596189375285	1.21317431526899	5.52635279219945	0	0	0	0	0	0	0.00899600561399515	0	0	0	0	0	5.3474639314064	0	0	0	0	0	13.3392893826693	0
TCGA-5S-A9Q8-01A-11D-A403-09	26.2124309491212	0	0	3.77973342504535	0	18.2799948671167	0.864605127802191	0	0	7.49822926897196	0	0	0.213106721531935	0	0	0	0.15726634991402	0	0	0	0	0	0	0	0	0	0	0	2.44840512126778	0
TCGA-A5-A0G3-01A-11W-A062-09	17.5928310509432	0	0	0	0	9.2773557166491	0.851992157236065	0	0	6.06733136264284	0	0	0	0	0	0	3.05718898854472	0	0	0	0	0.759558334871863	0	0	0	0	0	0	0	0
TCGA-A5-A0G5-01A-11W-A062-09	41.9150386173497	1.35445645557601	41.8377265727951	0	0	13.7426167426628	1.81926045772414	0	0	0	0	0	21.6246612686738	0	0	0	1.34604399368045	0	0	0	0.810346717165029	0	0	0	0	0	0	2.44710540482994	1.37101456919568	0
TCGA-A5-A0G9-01A-11W-A062-09	42.2098353880582	1.01489877184895	0	0	0	203.831046718207	13.3715888036542	76.7455766167851	0	19.096740294892	0	0	0	0	34.3768038662505	0	1.65698459682333	0	0	0	0	0	0	0	11.906525768079	5.16594666296423	0.216989787663135	0	0	0
TCGA-A5-A0GA-01A-11W-A062-09	25.5740935787268	0.878652741762413	0	7.26611887616539	0	137.505818917388	0	0	0	0	0	0	1.85782798899441	19.0730623330491	14.1859673386427	0	0.482541126766802	0	0	51.8184696979236	0	0	0	0	0	0	5.28217783844869	0	0	0
TCGA-A5-A0GB-01A-11W-A062-09	15.4826873203502	0	0	0	0	484.57482603545	0	24.2486070049358	0	10.1230470785527	0	0	0	13.1367682715685	37.5886341042099	0	0	0	0	13.0398811909261	0	1.91616733616202	0	0	0	6.56001900799067	0.576862690665781	0	0	0
TCGA-A5-A0GE-01A-11W-A062-09	16.5120438898098	0	0	0	0	0	2.54977066391969	0	0	5.3814840530654	0	0	0	0	0.520777230681894	0	0	0	0	0	1.5738026183427	0	0	0	0	0	0.394425641041941	0	2.16135679071176	0
