Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-N5-A4R8-01A-11D-A28R-08	24.7263646222619	2.67210710462014	3.90182337092651	0	5.894070671322	0	0	0	0	0	1.29207938852834	0	8.30030499086025	0	1.64193705983016	6.11620944630623	0	0	0	0	0	2.44814033803801	0	0	0	0	0	0
TCGA-N5-A4RA-01A-11D-A28R-08	31.9272113237187	0	0	4.48791928902386	0.440926106655117	0	0	0	0	0	0.457930165421914	0	0	0.638069272502097	2.38862911809517	0	0	1.30359314996154	0	0	0	0.701131749849903	0	0	0	1.65840048246204	1.72294269944365	0
TCGA-N5-A4RD-01A-11D-A28R-08	36.4180903990969	6.17498703949686	0	0	0	1.40412835000251	0	3.40802078925301	0	0	3.11491212653916	0	4.02863748151203	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45107952389619	0
TCGA-N5-A4RF-01A-11D-A28R-08	45.724756534716	0	2.31253324642156	0	0	0	0	15.2251181164016	0	0	6.53185791212071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25576579213783	0
TCGA-N5-A4RJ-01A-11D-A28R-08	43.1647306023869	0	0	0.93849506021909	1.73433033017567	0	0	0.325134586862581	0	0	1.0630194756759	0	0	0	1.79140602227168	0	0	0	0	0.00750267821352381	0	0	0	0	0	0	0	0
TCGA-N5-A4RM-01A-11D-A28R-08	24.2339194444147	0	0	0	5.41667978299589	0	0	0	0	0	5.54252535743868	0	7.05151121942151	0	0	1.25013926432319	0	0	0	0	0	0	0	0	0	2.0215972287669	0	0
TCGA-N5-A4RN-01A-12D-A28R-08	8.35105849264128	5.05359522990012	0.0437570251935606	0	12.6570053025692	2.86466156403636	0	5.21937017903897	0	0	0.272044067289751	0	0	0	0	0	2.02587514479241	5.12558931322319	4.4564529073397	1.36783052643825	0	0	0	0	0	1.11191565196896	12.0779361666109	0
TCGA-N5-A4RO-01A-11D-A28R-08	18.519653246184	0	13.2495213828895	0	1.97015410862934	4.43235725032359	0	0	0	2.71181985138242	5.30876603467941	0	0	0	0	0	0	0.978434785643612	0	0	0	3.54747138029592	0	0	1.44263343739378	0	0.759503328014016	0
TCGA-N5-A4RS-01A-11D-A28R-08	14.3187715476398	0	0	1.8588524727407	0	0.00798053648014576	0	0	0	0	2.46114358736852	0	7.26936367402906	0	0	3.63107463792192	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-N5-A4RT-01A-11D-A28R-08	11.3646803191142	3.72704490197939	9.39554836028207	8.69937581157903	22.063602681675	0	0	0	0	0	5.50466186999718	0	0	0	1.02564149956125	0	0	0	0	0.339857302620058	0	9.87025741995638	0	0	0	2.11620346106549	6.85750305772634	0
TCGA-N5-A4RU-01A-31D-A28R-08	27.3598036841217	0	8.91010322196614	8.85198630056905	0.420280880693936	0.830622261891077	0	1.00232235643895	0	0	4.1583001810978	0	5.08162594906312	0	2.34718765876475	0	0	0	0	0	0	1.40364029932054	0	0	0	0	0	0
TCGA-N5-A4RV-01A-21D-A28R-08	0	0	18.2032555230761	0	5.72807837021751	1.16026047111203	0	0	0	0	2.3547249858056	3.99242388532277	0.224999332527262	0	0	5.49726643208582	0	0	0	0	0	0	4.92650445076717	0	0	0	0	0.838415748867794
TCGA-N5-A59E-01A-11D-A28R-08	0	0	5.7759125307362	1.22556328221093	14.3459449448868	0.441885635138364	0	0	4.32313441373662	0	9.55461130475286	0	2.18894960511455	0	0	0	0	0	1.05825610305146	2.79405584989234	0	3.95039484119752	0	0	0	1.90034174122835	0	0
TCGA-N5-A59F-01A-11D-A28R-08	34.5954250487271	0.367896731501623	0	0	4.91278024675952	0	0	0	0	0	1.03939022356678	0	0.331970991129593	0	0	0	0	0	0	0	0	0	0	0	0.231409334460673	0	8.63116933777943	0
TCGA-N6-A4V9-01A-11D-A28R-08	6.84972369387917	2.98121355670995	0	2.50004063825796	0	0.855461658259646	4.50646651950523	2.82856921039836	0	0	0	0	0	0	0	0.786282492604227	0	0	0	0	0	0	0	2.69298016866572	0.911446722181695	0	0	7.41034793785445
TCGA-N6-A4VC-01A-11D-A28R-08	7.85517682780583	0	5.3213227334423	0	6.68098830692611	1.70878454184839	0	0	0	5.11248699289286	0	0	5.8492966919378	0	1.42896187667734	0	0	0	0	1.30272082982484	0	2.86560548262573	0	0	0	0	0	0
TCGA-N6-A4VF-01A-31D-A28R-08	18.6619943302591	1.36584851136715	0	0	12.0666966526729	3.71676176533975	0	1.35798728939858	0	0	0	0	4.55378523675938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-N6-A4VG-01A-31D-A28R-08	6.20051242752994	2.29672674999551	2.46254397458371	0	3.19945526570613	0	0.766758951073764	3.87582048542243	0	0	1.83482392367895	0	7.43684598400274	0	0.64595845761653	0	0	0	0	0	0	0	0	0	0	0	5.37036031100985	0
TCGA-N7-A4Y0-01A-12D-A28R-08	124.703864929943	0	0	0	341.227990881584	0	0	4.33812227947257	0	0	0	24.7673608317303	0	0	10.0399204110222	0	0	4.7860299101422	0	0	0	0	0	71.8822865292043	0	0	0	0
TCGA-N7-A4Y5-01A-12D-A28R-08	13.0411615396279	0.622297404160226	10.7459461507362	0	8.46437376424064	0.875815458372108	0	1.60892863907674	0	0	3.57948861104614	0	0	1.36177645742571	0	0	0	0	0	0	0	0	0	0	0.0742715707445389	4.96140453868429	0	0
TCGA-N7-A4Y8-01A-11D-A28R-08	26.7617286245486	0.827224523991157	0	0	7.88321286356635	1.36738521408291	0	0	0	0	0	0	0	0	0	0	0	2.17650686853854	0.650876271941465	0	0	4.01337563007837	0	0	0	0	0	0
TCGA-N7-A59B-01A-11D-A28R-08	0	0	10.7074046329395	0	11.9785286978941	0	0	0	0	0	0	0	0.984464312727741	0	0	0	0	0	1.12881957765468	0	1.27243467802366	5.73906722377318	0	0	0	0	0	2.9110228084117
TCGA-N8-A4PI-01A-21D-A28R-08	12.4240761071283	0	4.90035093297968	0	0	0	0	0.114584697632522	1.9284912743505	0	2.60961755837959	0	0	1.67372699989245	2.35527888584873	0	0	0	0	0	0	2.32726330540924	0	0	3.17611812316648	0	1.02806859942315	6.02034839088409
TCGA-N8-A4PL-01A-11D-A28R-08	25.7040166859846	0	7.15154386350792	0	0	0	1.3939555919437	0	0	0	0.577456903124865	0	2.85931613807469	0	0	0	0	0	0	0.473279817098604	0	0	0	0	0	1.65155482606403	2.16325098169989	0
TCGA-N8-A4PM-01A-11D-A28R-08	34.9010971918218	0	0	0	0	0	0	1.75134741957228	0	0	0	0	6.46667940708247	0	2.06472644107235	0	0	0	0	0	0	0	0	0	0.822982321585313	0	4.32958989122018	0
TCGA-N8-A4PN-01A-11D-A28R-08	23.879265398521	2.32573733480257	4.47423190647966	2.2081364416303	0	0.934742881178752	0	2.09279503490471	0.0580772294432571	0	0.716779622443597	0	0	0	0.272835819116845	0	0	0	0	0	0	0	0.344004852152781	0	0	0	0	7.12454378436844
TCGA-N8-A4PO-01A-11D-A28R-08	25.8462131043083	0	17.4107429127747	0	0	2.54626692284252	0	3.00987701618956	0	0	0	0	0	0	0.832123522330515	0	0	3.42974254077304	0.315887353858926	1.22858237573016	0	0	0	0	0	0	0	0
TCGA-N8-A4PP-01A-11D-A28R-08	18.68809143518	0	31.4354894228733	0	1.21384647444374	1.24142602248989	0	9.27465428702397	0	0	9.48399381062503	0	0	0	9.82403115877409	0	0	0.367886827143286	2.12378145142781	0	0	0	0	0	1.25189102068637	0.15610154248878	0	0
TCGA-N8-A4PQ-01A-11D-A28R-08	34.637400334197	0	10.9728003633978	0	0	0	0	0	0	0	2.67271701038414	0	0	0	0	1.33998521136651	0	0	0	0	0	0	0	0	0	0.801748572668818	0	0.18069494107245
TCGA-N8-A56S-01A-11D-A28R-08	17.5832301468848	0	0	0	0	3.16825329380353	0	0.438955075986333	0	0	0.611573776740225	0	10.7061603445007	4.66023161766555	0	0	0	0	0	0	0	5.68161769991502	0	0	0	0	0	0
TCGA-N9-A4PZ-01A-22D-A28R-08	11.7566516160746	0	0	0	0	0	0	0	0	1.17288566428488	0	0	14.4497012863776	0	7.60381794941949	0.177822665180226	0	0	0	0	0	4.79716271227461	0	0	0	0	0	2.00582839160525
TCGA-N9-A4Q1-01A-11D-A28R-08	17.0681694231732	0	11.7458315541916	0	0	1.5376916780654	0	0.864295041401037	0.764550311508316	0	0	0	0	0	0	0	0	3.00208919043069	0	0	0	0	0	0	0	1.43310794433847	4.13533249627976	0
TCGA-N9-A4Q3-01A-11D-A28R-08	24.828010104056	4.5957469024419	0	0	0	0	0	0	0	0	3.95665572189308	0	0	0	0	0	0	0	0	0	0	5.00682961173358	0	0	0	0.11898144005366	0	0
TCGA-N9-A4Q4-01A-11D-A28R-08	0	0	1.19825764101579	4.73269973013862	8.97497595188134	3.02460088585417	0	0	0	0	2.65016530631608	0	3.71577137823085	0	0	0	0	0	0.58205908318693	0	0	2.93321476368006	0	0	0	0	0	0
TCGA-N9-A4Q7-01A-11D-A28R-08	31.4846622063817	11.1866654951217	0	0	41.2792554907154	13.8724789379069	0	22.3465431662236	0	0	152.190754402587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-NA-A4QV-01A-11D-A28R-08	15.8437578782578	0	2.64851691417837	0	0	2.04842155481263	0	0	0	0	7.09249539465149	0	0.275346679035926	0	2.24965587557757	0	0	0	0	0	0	6.1094511557069	0	0	0.368639341936082	0	0	0
TCGA-NA-A4QW-01A-11D-A28R-08	33.9811651808561	2.38834223861224	0	0	0	1.47869537601435	0	0.825636823338441	4.32977534086081	0	2.63991369865198	0	0	0	0	4.59383384892307	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-NA-A4R0-01A-11D-A28R-08	6.87586375156459	3.19367038406633	2.86975496017441	8.91221901087484	0	0	0	0.6262285557861	0	2.72661650135775	0	0	13.2196621333453	0.653064958693016	0	0	0	0	0	0	0	0	0	0	0	0	1.64884944148038	0
TCGA-NA-A5I1-01A-21D-A28R-08	11.8537169727424	0	0	3.46989967284638	1.68371842619369	4.66978537613548	0	0.817408986709511	0	0	0	0	1.27531255439783	0.364195218251845	0	0	0	0	0	5.09677245151638	0.0204251012056687	0	0	9.62546171050585	0	0	0	0
TCGA-ND-A4W6-01A-11D-A28R-08	30.1397064707253	1.19390637940402	0	0	16.6923063793453	6.11575690492881	0	3.21973819661828	0	0	18.3254078051908	0	0	0	1.36012120562788	0	0	0	0	0	0	0	0	0	0	0.49977306138852	0	0
TCGA-ND-A4WA-01A-12D-A28R-08	38.7688433411842	0	0	0.226751971314405	0	0	0.687597422053177	0	0	0	2.02552403098265	0	1.2137854742307	0	0	0	1.6110166930436	0	0	0	0	0	0	0	0.176222876085201	2.12325994799589	2.92003522776553	0
TCGA-ND-A4WF-01A-11D-A28R-08	24.5516274626362	1.43985807332142	7.88951798711029	0	0	4.91774697627719	0	0	0	0	0.0841780310995022	0	6.89930965613748	11.1979396482273	7.90897575242969	1.21709918469145	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-NF-A4WU-01A-11D-A28R-08	25.3994269776752	1.62643299938468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97543204581516	0
TCGA-NF-A4WX-01A-11D-A28R-08	24.5420924421932	1.34653149065188	0	0	5.29026124883074	0	0	0	0	0	0	0	5.23350897717162	0	0	0	0	0	0	0	0	0	0	0	0.42895580688056	0	0	0
TCGA-NF-A4X2-01A-11D-A28R-08	15.2276024223202	0	2.10564641589626	0	14.0335159182507	0	0	0	0	0	2.53611935546955	0	0	1.83388938370892	0	21.8437295949937	0	5.32796664080215	0	2.2312420687014	2.82270664557484	12.453380552526	0	0	0	0.420824320296055	0	0
TCGA-NF-A5CP-01A-12D-A28R-08	58.5124519630443	0	0	0	0	0	0	0	0	0	2.65568253309835	0	0	0	1.13603636199057	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-NG-A4VU-01A-11D-A28R-08	7.2189479066586	5.98970187920232	5.32536145234632	0	0	0	0	2.71295352251707	0	0	3.32950435976228	0	0	0	0	0	0	2.57527031740823	0	0	0	0.419993717645495	0	0	0	0	0	4.34329654487491
TCGA-NG-A4VW-01A-11D-A28R-08	30.9925381707053	0	0	0	4.12652656150525	4.56065630180043	0	0	0	0	0	0	0	0	0	0	0	0	0.114005377379067	0	0	0	0	0	0	0.0506202499936756	0.739843847295791	0
TCGA-QM-A5NM-01A-11D-A28R-08	0	0	12.8653079610541	0	20.9204204249859	2.8188878076199	0	0.0670128533877235	1.789852318901	0	0.523002528526299	0	0	0	0	1.15412732738894	0	0	0	1.13798173065749	0	0	3.87518175756836	0	0	0	0	0
