Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.28	Signature.29	Signature.30
TCGA-RZ-AB0B-01A-11D-A39W-08	8.96250764268888	0	0.550453403759656	3.06018860230083	0	0	0.410692525915596	0.155709775696266	0	0	0	0	0	0	0	0	0.594383363876265	0	0	2.81137703721315	0	0	0	0	0	0	0
TCGA-V4-A9E5-01A-11D-A39W-08	2.67116120001808	0	0	0	5.74641902393735	0	0	0	0	0	1.37784562277748	0	0	0	2.53256256590607	1.60200212952423	0	0	0	0	0	0	0	0	0	0	0
TCGA-V4-A9E7-01A-11D-A39W-08	5.80457983440932	0.0964222590337988	0	0	0	0	0	0	0	0	0	0	10.4024479329285	0	0	0	0	0	0	3.1145672558645	0	0.615759661513289	0	0	0	0	0
TCGA-V4-A9E8-01A-11D-A39W-08	0	0.246404119911606	0	0	0	0	0	0	0	0	1.29605080817439	0	0	3.22519155365964	0	0	1.66939718791122	4.59652123934374	0	2.41770144887514	0	0	0	0	0.039945678164377	0	0
TCGA-V4-A9E9-01A-11D-A39W-08	5.12192989319886	0	4.81093902861487	0.241914832035259	0	0.843515873545729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-V4-A9EA-01A-11D-A39W-08	3.05233268190875	0.890663422305895	0	0	9.52405651278774	0	0	0	0	0	1.30203369790541	0	0	0	0	0	0	0	1.70107552999607	0.621434980670842	0	0	0	0	0	0	0
TCGA-V4-A9EC-01A-11D-A39W-08	3.47627965048948	0	0.166531066246144	0	0	0	0	1.71883517067348	0.290874264757027	0	1.0221483566598	0	0.0757432283165068	2.46869890044312	0	0	0	4.69762801781852	0	0	1.33291613100364	0.0433178111283213	0	0.786164555077562	0	0	0
TCGA-V4-A9ED-01A-11D-A39W-08	0.701853917069551	0	2.34864481294361	0	0	0.535556229659206	0	3.53341623542418	0	0	1.32604318701003	0	0	0	0	0.478573364579045	0	0	1.69553655776328	2.22821903090287	0	0	0	0	0	0	0
TCGA-V4-A9EE-01A-11D-A39W-08	2.80103995336355	3.20956164127409	0	0	3.51655290436223	0	0	0.144011322702443	0	3.18018109540193	0	0	0	0	0	0	0	0	0.920664317527345	0	0	0	0	0	0	0	0
TCGA-V4-A9EF-01A-21D-A39W-08	7.19813069797465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4614988714105	0	0	0	0	0	0	0
